textbox5,textbox3,textbox4,textbox11,textbox14,textbox7,textbox24,textbox8,DateValue,CustomerCount_1,Quantity,TotalSales_1,TotalSales,textbox6,textbox26,textbox10,textbox13,textbox18,textbox19,textbox20,textbox9,textbox22,textbox33
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,05:00 - 06:00,0,0,0.00,0.0%,0.00,0.00,0.00,Total,298,"2,370","2,942.03","2,942.03",9.87,1.24
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,06:00 - 07:00,0,0,0.00,0.0%,0.00,0.00,0.00,Total,298,"2,370","2,942.03","2,942.03",9.87,1.24
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,07:00 - 08:00,0,0,0.00,0.0%,0.00,0.00,0.00,Total,298,"2,370","2,942.03","2,942.03",9.87,1.24
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,08:00 - 09:00,0,0,0.00,0.0%,0.00,0.00,0.00,Total,298,"2,370","2,942.03","2,942.03",9.87,1.24
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,09:00 - 10:00,0,0,0.00,0.0%,0.00,0.00,0.00,Total,298,"2,370","2,942.03","2,942.03",9.87,1.24
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,10:00 - 11:00,0,0,0.00,0.0%,0.00,0.00,0.00,Total,298,"2,370","2,942.03","2,942.03",9.87,1.24
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,11:00 - 12:00,1,18,10.81,0.4%,10.81,10.81,0.60,Total,298,"2,370","2,942.03","2,942.03",9.87,1.24
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,12:00 - 13:00,42,360,437.24,14.9%,448.05,10.41,1.21,Total,298,"2,370","2,942.03","2,942.03",9.87,1.24
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,13:00 - 14:00,42,332,363.34,12.3%,811.39,8.65,1.09,Total,298,"2,370","2,942.03","2,942.03",9.87,1.24
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,14:00 - 15:00,38,308,396.87,13.5%,"1,208.26",10.44,1.29,Total,298,"2,370","2,942.03","2,942.03",9.87,1.24
